IDS lmass compactness Best_fit_Z Best_fit_t
n14713 10.56 0.15115782242597822 0.03 4.1
n16758 10.83 -0.05694388968535399 0.023 5.2
n21156 11.16 0.011287345856073553 0.006 3.7
n21427 10.73 0.214938612640452 0.026 4.8
n23435 10.27 0.5026528383109033 0.004 4.3
n32562 10.9 0.3382275999819488 0.002 3.1
n32566 10.61 0.8262320589269175 0.005 4.3
n34694 10.94 0.36936680172706515 0.015 2.9
n37686 10.89 0.005595036180393583 0.007 5.1
s23421 10.58 0.23316471479713582 0.015 4.1
s26915 10.86 0.37405853286580254 0.01 2.7
s35774 10.86 0.5625647221690279 0.03 1.4
s38785 10.88 0.27861808469037097 0.005 4.7
s39012 11.09 -0.10425346488759196 0.007 3.9
s39170 11.09 0.10506032505058698 0.025 4.8
s39241 10.87 0.10017773864084324 0.019 5.0
s39364 11.12 -0.1807477682168739 0.03 0.7
s39631 10.69 0.23301217658776638 0.015 4.8
s39804 10.91 -0.34989982740858994 0.016 4.8
s39805 10.62 0.30158910775627973 0.03 4.0
s40597 11.01 -0.09105721420035541 0.004 4.4
s40862 10.92 0.15282714923114268 0.008 5.0
s41520 10.92 -0.18889441995783218 0.03 1.5
s42113 11.18 -0.1420901390790428 0.03 3.5
s42221 10.51 0.7157062333464581 0.003 4.3
s42778 10.96 0.043423787332224933 0.005 4.0
s44620 10.5 0.6261254461496822 0.019 5.2
s44824 10.97 0.4565141170863208 0.03 2.0
s45972 10.87 0.6749054845582425 0.003 4.9
s46066 10.85 0.009223082146595464 0.029 5.0
s46846 11.21 0.10984590096383477 0.004 5.0
s47677 10.09 0.5195600662764386 0.013 3.9
s48631 11.01 0.3192207413470401 0.015 3.3
