IDS lmass compactness Best_fit_Z Best_fit_t
n14713 10.56 0.15115782242597822 0.03 4.3
n16758 10.83 -0.05694388968535399 0.02 5.4
n21156 11.16 0.011287345856073553 0.006 3.5
n21427 10.73 0.214938612640452 0.027 4.9
n23435 10.27 0.5026528383109033 0.003 4.6
n32566 10.61 0.8262320589269175 0.015 4.3
n34694 10.94 0.36936680172706515 0.024 2.3
n37686 10.89 0.005595036180393583 0.007 5.1
s35774 10.86 0.5625647221690279 0.022 1.8
s38785 10.88 0.27861808469037097 0.003 5.0
s39012 11.09 -0.10425346488759196 0.025 3.9
s39170 11.09 0.10506032505058698 0.024 4.9
s39241 10.87 0.10017773864084324 0.018 5.2
s39631 10.69 0.23301217658776638 0.007 5.1
s39804 10.91 -0.34989982740858994 0.015 4.9
s39805 10.62 0.30158910775627973 0.002 4.9
s40597 11.01 -0.09105721420035541 0.005 3.4
s40862 10.92 0.15282714923114268 0.008 5.1
s41520 10.92 -0.18889441995783218 0.015 1.4
s42221 10.51 0.7157062333464581 0.03 4.0
s44620 10.5 0.6261254461496822 0.02 5.4
s45972 10.87 0.6749054845582425 0.003 5.1
s46066 10.85 0.009223082146595464 0.026 5.2
s47677 10.09 0.5195600662764386 0.004 4.3
s48631 11.01 0.3192207413470401 0.015 3.5
