Filename redshift zmax
../extractions_quiescent_mar17/GS1-G102_44620.1D.fits 1.08511634718884 1.08
../extractions_quiescent_mar17/GS1-G102_47677.1D.fits 1.0993541856996525 1.1
../extractions_quiescent_mar17/GS1-G102_47691.1D.fits 1.1099375773360434 1.11
../extractions_quiescent_mar17/GS2-G102_44824.1D.fits 1.6082347978514955 1.6099999999999999
../extractions_quiescent_mar17/GS2-G102_45972.1D.fits 1.0434580663312383 1.04
../extractions_quiescent_mar17/GS2-G102_46846.1D.fits 1.0513168006652749 1.04
../extractions_quiescent_mar17/GS2-G102_48631.1D.fits 1.0810615015435052 1.02
../extractions_quiescent_mar17/GS3-G102_35774.1D.fits 1.2253612101854396 1.22
../extractions_quiescent_mar17/GS3-G102_36095.1D.fits 1.9434812642064005 1.96
../extractions_quiescent_mar17/GS3-G102_38785.1D.fits 1.1754442405671761 1.18
../extractions_quiescent_mar17/GS3-G102_39804.1D.fits 1.3622755901691903 1.3599999999999999
../extractions_quiescent_mar17/GS3-G102_39805.1D.fits 1.1577183020984863 1.16
../extractions_quiescent_mar17/GS3-G102_39825.1D.fits 1.084719327510728 1.06
../extractions_quiescent_mar17/GS3-G102_40597.1D.fits 1.2267228202888831 1.22
../extractions_quiescent_mar17/GS3-G102_41520.1D.fits 1.6328463951155976 1.63
../extractions_quiescent_mar17/GS3-G102_42113.1D.fits 1.6411660158009236 1.63
../extractions_quiescent_mar17/GS5-G102_38513.1D.fits 1.2658226317311225 1.27
../extractions_quiescent_mar17/GS5-G102_39825.1D.fits 1.0795924304889395 1.06
../extractions_quiescent_mar17/GS5-G102_40223.1D.fits 1.649718782791848 1.65
../extractions_quiescent_mar17/GS5-G102_40476.1D.fits 1.1955225314948372 1.2
../extractions_quiescent_mar17/GS5-G102_40623.1D.fits 1.4891158557602744 1.48
../extractions_quiescent_mar17/GS5-G102_41148.1D.fits 1.694426337170877 1.69
../extractions_quiescent_mar17/GS5-G102_43615.1D.fits 1.0486561749100534 1.03
../extractions_quiescent_mar17/GS5-G102_44042.1D.fits 1.6620271625918535 1.6800000000000002
