wv fl
3361.31047090792 1.667791356001246e-15
3362.3108609290234 1.7014289401608455e-15
3363.311250950127 1.817678918215578e-15
3364.3116409712306 1.794121661403015e-15
3365.3120309923343 1.797506405060243e-15
3366.312421013438 1.8625655234311882e-15
3367.3128110345415 1.850584242392276e-15
3368.313201055645 1.6127617430005022e-15
3369.3135910767487 1.5674488684541861e-15
3370.3139810978523 1.7134702546598942e-15
3371.314371118956 1.8140603934649075e-15
3372.3147611400595 1.7505285813769803e-15
3373.315151161163 1.749751322768756e-15
3374.3155411822668 1.815408022883989e-15
3375.3159312033704 1.8618190756464204e-15
3376.316321224474 1.922932502790818e-15
3377.3167112455776 2.2123782721859527e-15
3378.317101266681 1.9790122248879204e-15
3379.317491287785 1.8658420586294047e-15
3380.3178813088884 1.7661033996946188e-15
3381.318271329992 1.7631572073458315e-15
3382.3186613510957 1.9783365043542483e-15
3383.3190513721993 1.914681343093377e-15
3384.319441393303 1.970587635194529e-15
3385.3198314144065 2.270550165662773e-15
3386.32022143551 2.0724549938048835e-15
3387.3206114566137 1.9569508282602085e-15
3388.3210014777173 2.100735941606047e-15
3389.321391498821 2.173178222661734e-15
3390.3217815199246 2.0821270512713435e-15
3391.322171541028 2.4702904872624673e-15
3392.322561562132 2.0689984641053755e-15
3393.3229515832354 2.23326568114877e-15
3394.323341604339 2.503872379005785e-15
3395.3237316254426 2.6132569432647844e-15
3396.3241216465462 2.6207580552874317e-15
3397.32451166765 2.4671359248086555e-15
3398.3249016887535 2.7139261737712476e-15
3399.325291709857 2.8292511918475783e-15
3400.3256817309607 2.842504928131503e-15
3401.3260717520643 2.681844589135754e-15
3402.326461773168 2.6557769384257662e-15
3403.3268517942715 2.732509017842823e-15
3404.327241815375 2.6550484900911275e-15
3405.3276318364788 2.4919552607126274e-15
3406.3280218575824 2.6849493884039148e-15
3407.328411878686 2.727983320805643e-15
3408.3288018997896 2.762424739232187e-15
3409.329191920893 2.735168913055438e-15
3410.329581941997 2.75376128624767e-15
3411.3299719631004 2.4865539433662235e-15
3412.330361984204 2.6579017205739536e-15
3413.3307520053077 2.687418701203398e-15
3414.3311420264113 2.739036677250838e-15
3415.331532047515 2.586682131577628e-15
3416.3319220686185 2.559707943855841e-15
3417.332312089722 2.782679838099879e-15
3418.3327021108257 2.901970240918781e-15
3419.3330921319293 2.9838340694467776e-15
3420.333482153033 3.0361070137206823e-15
3421.3338721741366 3.239782438635083e-15
3422.33426219524 3.0616429394980313e-15
3423.334652216344 2.9495279645335576e-15
3424.3350422374474 3.1065469088890603e-15
3425.335432258551 3.0769445896901802e-15
3426.3358222796546 2.9408748877026445e-15
3427.3362123007582 3.1932117201620945e-15
3428.336602321862 3.245764185308593e-15
3429.3369923429655 3.2587297186322146e-15
3430.337382364069 3.2087242815581098e-15
3431.3377723851727 3.1788350299483473e-15
3432.3381624062763 3.0093119734672397e-15
3433.33855242738 3.060700403585974e-15
3434.3389424484835 3.2913788153423685e-15
3435.339332469587 3.204570008468301e-15
3436.3397224906907 3.0222703070108096e-15
3437.3401125117944 3.0169024474658223e-15
3438.340502532898 3.0261188012066596e-15
3439.3408925540016 2.658363777046681e-15
3440.341282575105 2.6687700003201736e-15
3441.341672596209 2.4957048638118854e-15
3442.3420626173124 2.3956393560385777e-15
3443.342452638416 2.5487462787271865e-15
3444.3428426595196 2.724878945053956e-15
3445.3432326806233 2.8196843782248146e-15
3446.343622701727 2.8514404904503255e-15
3447.3440127228305 2.9790087345045067e-15
3448.344402743934 3.153418747574798e-15
3449.3447927650377 3.230217530836451e-15
3450.3451827861413 3.0640394074640505e-15
3451.345572807245 3.1267122222643435e-15
3452.3459628283485 3.029949507710617e-15
3453.346352849452 3.1722180085643967e-15
3454.3467428705558 3.4607760874308087e-15
3455.3471328916594 3.2560151897945014e-15
3456.347522912763 3.2353067165417915e-15
3457.3479129338666 3.3076200368312592e-15
3458.34830295497 3.2071570588474525e-15
3459.348692976074 3.073873459981673e-15
3460.3490829971774 3.049400772311365e-15
3461.349473018281 3.043068142239455e-15
3462.3498630393847 3.2599405522303147e-15
3463.3502530604883 3.2988585397830976e-15
3464.350643081592 3.253785799077328e-15
3465.3510331026955 3.335049716520432e-15
3466.351423123799 3.318054635708485e-15
3467.3518131449027 3.310873278623426e-15
3468.3522031660063 3.204747461870751e-15
3469.35259318711 3.420875329900974e-15
3470.3529832082136 3.4966364978022404e-15
3471.353373229317 3.4846175237971755e-15
3472.353763250421 3.217112448834769e-15
3473.3541532715244 3.1727281341568806e-15
3474.354543292628 3.0094053588496745e-15
3475.3549333137316 2.8098530785642707e-15
3476.3553233348352 2.817547102340655e-15
3477.355713355939 2.975583545024047e-15
3478.3561033770425 3.209355744620288e-15
3479.356493398146 3.329413559289402e-15
3480.3568834192497 3.286416472820879e-15
3481.3572734403533 3.4322471707343366e-15
3482.357663461457 3.3496553173881748e-15
3483.3580534825605 3.21291900047115e-15
3484.358443503664 3.2214723391725238e-15
3485.3588335247678 3.1125030328159158e-15
3486.3592235458714 3.3965836955231416e-15
3487.359613566975 3.3501040330919827e-15
3488.3600035880786 3.4108373542013e-15
3489.360393609182 3.2142596418684166e-15
3490.360783630286 3.133863297921538e-15
3491.3611736513894 2.9848075220614096e-15
3492.361563672493 2.996344534319487e-15
3493.3619536935967 3.115759450981635e-15
3494.3623437147003 3.230291222702862e-15
3495.362733735804 3.261222748354221e-15
3496.3631237569075 3.1622552070387916e-15
3497.363513778011 3.1033610062162e-15
3498.3639037991147 3.0211490471468818e-15
3499.3642938202183 3.244962468624017e-15
3500.364683841322 3.612367244660306e-15
3501.3650738624256 3.635427293132831e-15
3502.365463883529 3.6889652811134595e-15
3503.365853904633 3.7078291283652864e-15
3504.3662439257364 3.603881245078239e-15
3505.36663394684 3.634222812281835e-15
3506.3670239679436 3.4612082859921452e-15
3507.3674139890472 3.5540430970112166e-15
3508.367804010151 3.454826104492821e-15
3509.3681940312545 3.499825576848653e-15
3510.368584052358 3.4699007498551057e-15
