wv flam
3360.2332862493 6.904428662679043e-16
3361.233355679731 1.0756853620799809e-15
3362.2334251101624 1.0203510289764624e-15
3363.2334945405937 9.13620854215921e-16
3364.233563971025 9.542451896409477e-16
3365.2336334014562 9.259254900824475e-16
3366.2337028318875 1.0973428298709708e-15
3367.233772262319 1.0066159662202603e-15
3368.23384169275 1.1980781289473198e-15
3369.2339111231813 1.0172152071266085e-15
3370.2339805536126 8.87821501191976e-16
3371.234049984044 1.0683516449435347e-15
3372.234119414475 1.3221587148411814e-15
3373.2341888449064 1.4149859025637274e-15
3374.2342582753377 1.2130262487631085e-15
3375.234327705769 1.2043297614936486e-15
3376.2343971362 1.1214154003528196e-15
3377.2344665666315 8.98887351373143e-16
3378.2345359970627 9.875874769393108e-16
3379.234605427494 1.3266406838024591e-15
3380.2346748579253 1.3694380822536667e-15
3381.2347442883565 1.2218591083370763e-15
3382.234813718788 1.2415790941403405e-15
3383.234883149219 1.142994094079715e-15
3384.2349525796503 1.371690342860416e-15
3385.2350220100816 1.4491119070965375e-15
3386.235091440513 1.3474074964494112e-15
3387.235160870944 1.2290501004219101e-15
3388.2352303013754 1.2578701846940009e-15
3389.2352997318067 1.18168931196737e-15
3390.235369162238 1.2957125462828892e-15
3391.235438592669 1.3105082001681721e-15
3392.2355080231005 1.3804310876013698e-15
3393.2355774535317 1.2777535419769667e-15
3394.235646883963 1.2982285517735897e-15
3395.2357163143943 1.3203436291143338e-15
3396.2357857448255 1.3785695209415417e-15
3397.235855175257 1.4885196914510702e-15
3398.235924605688 1.2168047568616915e-15
3399.2359940361193 1.296388690333035e-15
3400.2360634665506 1.5449420383753369e-15
3401.236132896982 1.6320774823296892e-15
3402.236202327413 1.6385368497063321e-15
3403.2362717578444 1.6763076370111775e-15
3404.2363411882757 1.6387224558008992e-15
3405.236410618707 1.8209903935228686e-15
3406.236480049138 1.8061827752972057e-15
3407.2365494795695 1.4949238958070232e-15
3408.2366189100007 1.4438432562854974e-15
3409.236688340432 1.1831347736918595e-15
3410.2367577708633 1.421126362035729e-15
3411.2368272012945 1.7878642055051738e-15
3412.236896631726 1.7791999054877095e-15
3413.236966062157 1.6243988110254738e-15
3414.2370354925883 1.4015415838666704e-15
3415.2371049230196 1.4134218562266224e-15
3416.237174353451 1.4812938651362806e-15
3417.237243783882 1.7305288629428854e-15
3418.2373132143134 1.6415605455697931e-15
3419.2373826447447 1.5080515300609255e-15
3420.237452075176 1.5288012961698141e-15
3421.237521505607 1.784790322939588e-15
3422.2375909360385 1.6514688193494187e-15
3423.2376603664698 1.5434200260482393e-15
3424.237729796901 1.6269768616795606e-15
3425.2377992273323 1.415398619367277e-15
3426.2378686577636 1.6043532469331087e-15
3427.237938088195 1.786702076301541e-15
3428.238007518626 1.6477147693271877e-15
3429.2380769490574 1.5596662238556952e-15
3430.2381463794886 1.4397240291838813e-15
3431.23821580992 1.5975939240140194e-15
3432.238285240351 1.3908396402154675e-15
3433.2383546707824 1.4733907301010428e-15
3434.2384241012137 1.6920427563140838e-15
