wv er
3357.94074595687 8.953417508652752e-17
3358.940133083643 8.811753895202431e-17
3359.939520210416 8.763684775445749e-17
3360.938907337189 8.66854113790092e-17
3361.938294463962 8.808090477705556e-17
3362.937681590735 8.810503859860741e-17
3363.937068717508 9.106797308299275e-17
3364.9364558442808 9.275436935886176e-17
3365.9358429710537 9.464625715122364e-17
3366.9352300978267 9.589162057681408e-17
3367.9346172245996 9.652399684638842e-17
3368.9340043513726 9.504400529440854e-17
3369.9333914781455 9.562120530840314e-17
3370.9327786049184 9.482256573570565e-17
3371.9321657316914 9.368580781582097e-17
3372.9315528584643 9.362278327058933e-17
3373.9309399852373 9.350965805001658e-17
3374.93032711201 9.40794002036084e-17
3375.929714238783 9.454160887756833e-17
3376.929101365556 9.356708423686246e-17
3377.928488492329 9.221557037762432e-17
3378.927875619102 9.173695044031134e-17
3379.927262745875 9.232985365105465e-17
3380.926649872648 9.034686349474862e-17
3381.926036999421 9.083232587008864e-17
3382.925424126194 9.072792244189465e-17
3383.9248112529667 9.541343739086452e-17
3384.9241983797397 9.35334477644336e-17
3385.9235855065126 8.932844534201824e-17
3386.9229726332856 8.82328942515285e-17
3387.9223597600585 8.851088649435043e-17
3388.9217468868314 8.780669109527178e-17
3389.9211340136044 8.751950722148317e-17
3390.9205211403773 8.839232835151443e-17
3391.9199082671503 8.678146359173886e-17
3392.919295393923 8.648320211518694e-17
3393.918682520696 8.592503387272596e-17
3394.918069647469 8.663018218387026e-17
3395.917456774242 8.789491487068424e-17
3396.916843901015 8.701863943441496e-17
3397.916231027788 8.745781278267652e-17
3398.915618154561 8.73608142753261e-17
3399.915005281334 8.691966892848422e-17
3400.914392408107 8.733662751421505e-17
3401.9137795348797 8.702130626470983e-17
3402.9131666616527 8.53781880784896e-17
3403.9125537884256 8.496279120975527e-17
3404.9119409151986 8.395509993520847e-17
3405.9113280419715 8.470166683398453e-17
3406.9107151687444 8.400656380419907e-17
3407.9101022955174 8.363461046123602e-17
3408.9094894222903 8.282499916489362e-17
3409.9088765490633 8.386729305882474e-17
3410.908263675836 8.364171097961418e-17
3411.907650802609 8.362232186605594e-17
3412.907037929382 8.370258485525318e-17
3413.906425056155 8.452416710942045e-17
3414.905812182928 8.430749211104586e-17
3415.905199309701 8.391252329471914e-17
3416.904586436474 8.459795162006018e-17
3417.903973563247 8.47604826842595e-17
3418.90336069002 8.51456841519132e-17
3419.9027478167927 8.431508232034665e-17
3420.9021349435657 8.4233317171157e-17
3421.9015220703386 8.497603271700102e-17
3422.9009091971116 8.518488589550331e-17
3423.9002963238845 8.439668203341378e-17
3424.8996834506574 8.3785468352631e-17
3425.8990705774304 8.402325961768284e-17
3426.8984577042033 8.3877510393751e-17
3427.8978448309763 8.370650900007913e-17
3428.897231957749 8.424659838307216e-17
3429.896619084522 8.825134368791089e-17
3430.896006211295 8.87086091305302e-17
3431.895393338068 8.646179468093407e-17
3432.894780464841 8.337737052562183e-17
3433.894167591614 8.381154108553867e-17
3434.893554718387 8.3584238470654e-17
3435.89294184516 8.331550403324777e-17
3436.892328971933 8.154361698671018e-17
3437.8917160987057 8.18153292743216e-17
3438.8911032254787 8.091908900678774e-17
3439.8904903522516 7.901307958700835e-17
3440.8898774790246 7.819384652578074e-17
3441.8892646057975 7.85520223484611e-17
3442.8886517325705 7.81028632758448e-17
3443.8880388593434 7.821228272727332e-17
3444.8874259861163 7.871499678146874e-17
3445.8868131128893 7.992021216884831e-17
3446.8862002396622 8.056421528911269e-17
3447.885587366435 8.066949222003354e-17
3448.884974493208 8.252164225576838e-17
3449.884361619981 8.367934438876289e-17
3450.883748746754 8.404079584666896e-17
3451.883135873527 8.327436999574673e-17
3452.8825230003 8.255587429823827e-17
3453.881910127073 8.216689426954643e-17
3454.881297253846 8.249617171034664e-17
3455.8806843806187 8.137336336431206e-17
3456.8800715073917 8.132790813529105e-17
3457.8794586341646 8.05627197465652e-17
3458.8788457609376 7.973530090599575e-17
3459.8782328877105 7.922386505942157e-17
3460.8776200144835 7.900261740662078e-17
3461.8770071412564 7.863517716107983e-17
3462.8763942680293 7.918249279390411e-17
3463.8757813948023 7.827008610847852e-17
3464.8751685215752 7.833266728490184e-17
3465.874555648348 7.858611542458808e-17
3466.873942775121 7.7704976166317e-17
3467.873329901894 7.764605443692362e-17
3468.872717028667 7.768760537345338e-17
3469.87210415544 7.763620767891179e-17
3470.871491282213 7.766719055593557e-17
3471.870878408986 7.659202781318405e-17
3472.870265535759 7.579995936327267e-17
3473.8696526625317 7.561805242040491e-17
3474.8690397893047 7.626942075684347e-17
3475.8684269160776 7.730597070860102e-17
3476.8678140428506 7.95005470481532e-17
3477.8672011696235 8.08949684201257e-17
3478.8665882963965 8.208691583047991e-17
3479.8659754231694 8.181251686023892e-17
3480.8653625499423 8.181099484791182e-17
3481.8647496767153 8.12397836215521e-17
3482.8641368034882 8.090052045639715e-17
3483.863523930261 7.994230119992592e-17
3484.862911057034 7.935674997046699e-17
3485.862298183807 7.838157682016087e-17
3486.86168531058 7.787993479203931e-17
3487.861072437353 7.703726274097439e-17
3488.860459564126 7.602796342731679e-17
3489.859846690899 7.513286797775071e-17
3490.859233817672 7.428173883210304e-17
3491.8586209444447 7.460963984436396e-17
3492.8580080712177 7.422766107237678e-17
3493.8573951979906 7.392521737064779e-17
3494.8567823247636 7.386633534592381e-17
3495.8561694515365 7.253431647936232e-17
3496.8555565783095 7.346144697969136e-17
3497.8549437050824 7.396061408342016e-17
3498.8543308318553 7.284877084358558e-17
3499.8537179586283 7.379734186539199e-17
3500.8531050854012 7.436362309530089e-17
3501.852492212174 7.417360316498521e-17
3502.851879338947 7.383871413090944e-17
3503.85126646572 7.350623384677743e-17
3504.850653592493 7.314445151662634e-17
3505.850040719266 7.31922096164727e-17
3506.849427846039 7.418232495736397e-17
3507.848814972812 7.350290527199252e-17
3508.848202099585 7.347065846299275e-17
3509.8475892263577 7.263253259657442e-17
3510.8469763531307 7.153452643402663e-17
3511.8463634799036 7.079969226505902e-17
3512.8457506066766 7.019863636219839e-17
3513.8451377334495 7.08180755269924e-17
3514.8445248602225 7.044629423759677e-17
3515.8439119869954 7.055182924886873e-17
3516.8432991137684 7.200146658109036e-17
3517.8426862405413 7.19223814970854e-17
3518.8420733673142 7.099233932100017e-17
3519.841460494087 7.021345943877534e-17
3520.84084762086 6.971312766474407e-17
3521.840234747633 7.003579427808875e-17
3522.839621874406 6.823911828295417e-17
3523.839009001179 6.769403272906133e-17
3524.838396127952 6.732311832494765e-17
3525.837783254725 6.738860455968225e-17
3526.837170381498 6.726638035237141e-17
