wv fl
3359.23446661429 9.30506096030433e-15
3360.2342387769727 8.747763255954888e-15
3361.2340109396555 9.05599769842778e-15
3362.2337831023383 9.625218238542774e-15
3363.233555265021 1.0312971722263586e-14
3364.233327427704 1.128076361570909e-14
3365.2330995903867 1.1848433238497661e-14
3366.2328717530695 1.200773387785483e-14
3367.2326439157523 1.1644726896880685e-14
3368.232416078435 1.1210659780862536e-14
3369.232188241118 1.0736547488197044e-14
3370.2319604038007 1.0662881032774338e-14
3371.2317325664835 1.0357418929137809e-14
3372.2315047291663 1.0648944799693163e-14
3373.231276891849 1.1444770370121204e-14
3374.231049054532 1.2176216354360236e-14
3375.2308212172147 1.2636468646909805e-14
3376.2305933798975 1.3250156722689754e-14
3377.2303655425803 1.3780698350301327e-14
3378.230137705263 1.3864736724163162e-14
3379.229909867946 1.3532773500705888e-14
3380.2296820306287 1.2882150553260915e-14
3381.2294541933115 1.2979240857806992e-14
3382.2292263559943 1.3197199375794468e-14
3383.228998518677 1.3470277715791571e-14
3384.22877068136 1.363661211674274e-14
3385.2285428440427 1.4256560613035846e-14
3386.2283150067256 1.4329986511101532e-14
3387.2280871694084 1.4299808421256756e-14
3388.227859332091 1.503341010434655e-14
3389.227631494774 1.5421788263189802e-14
3390.2274036574568 1.5235376640289865e-14
3391.2271758201396 1.500267127869069e-14
3392.2269479828224 1.5177151595495604e-14
3393.226720145505 1.5022954329645642e-14
3394.226492308188 1.515434608042373e-14
3395.226264470871 1.5840686713188522e-14
3396.2260366335536 1.6774272875125056e-14
3397.2258087962364 1.7508138832494392e-14
3398.225580958919 1.825656189809524e-14
3399.225353121602 1.8859578205772734e-14
3400.225125284285 1.865896861661092e-14
3401.2248974469676 1.887084543803711e-14
3402.2246696096504 1.8478225338194008e-14
3403.224441772333 1.802005505262879e-14
3404.224213935016 1.8193220774299565e-14
3405.223986097699 1.775835914137689e-14
3406.2237582603816 1.7430914838693218e-14
3407.2235304230644 1.7274781255525833e-14
3408.223302585747 1.689352664376899e-14
3409.22307474843 1.7191067295282796e-14
3410.222846911113 1.725102536948714e-14
3411.2226190737956 1.754622651600063e-14
3412.2223912364784 1.749367998008476e-14
3413.222163399161 1.7400438593251008e-14
3414.221935561844 1.7057696875539922e-14
3415.221707724527 1.6962612345012944e-14
3416.2214798872096 1.7227984379255927e-14
3417.2212520498924 1.7898346582503714e-14
3418.2210242125752 1.8844706001284843e-14
3419.220796375258 1.9178477640084506e-14
3420.220568537941 1.9480749817641675e-14
3421.2203407006236 1.9919822898378098e-14
3422.2201128633064 1.9474808728549634e-14
3423.2198850259892 1.9358456894782994e-14
3424.219657188672 1.9158613023405498e-14
3425.219429351355 1.9132600641595318e-14
3426.2192015140376 1.9790885849081154e-14
3427.2189736767205 1.9666815851099133e-14
3428.2187458394033 2.029919032072846e-14
3429.218518002086 2.0853846129315415e-14
3430.218290164769 2.1084696488760102e-14
3431.2180623274517 2.0968564883559748e-14
3432.2178344901345 2.0452213598913527e-14
3433.2176066528173 2.0247175721503467e-14
3434.2173788155 2.0174412203202534e-14
3435.217150978183 2.027600364083032e-14
3436.2169231408657 2.0553122327985826e-14
3437.2166953035485 1.9922862052592846e-14
3438.2164674662313 1.927269650293939e-14
3439.216239628914 1.8328026067855087e-14
3440.216011791597 1.6904302596923958e-14
3441.2157839542797 1.6332806079279692e-14
3442.2155561169625 1.5920426394843042e-14
3443.2153282796453 1.6529344828097002e-14
3444.215100442328 1.7167177578038435e-14
3445.214872605011 1.787407570043309e-14
3446.2146447676937 1.8759001513615758e-14
3447.2144169303765 1.963531977798843e-14
3448.2141890930593 2.0535415951256422e-14
3449.213961255742 2.115979104173188e-14
3450.213733418425 2.1411585137830376e-14
3451.2135055811077 2.1451848001945162e-14
3452.2132777437905 2.0873256736334694e-14
3453.2130499064733 2.067618605082651e-14
3454.212822069156 2.099441632910995e-14
3455.212594231839 2.1575775698392044e-14
3456.2123663945217 2.1782429714665465e-14
3457.2121385572045 2.1085402914238112e-14
3458.2119107198873 2.0623085555363137e-14
3459.21168288257 2.0413116252134163e-14
3460.211455045253 1.9997770258316228e-14
3461.2112272079357 1.9860083358674147e-14
3462.2109993706185 2.0275044799534028e-14
3463.2107715333013 2.087259774470173e-14
3464.210543695984 2.1700179427355283e-14
3465.210315858667 2.2038220112209107e-14
3466.2100880213497 2.1880980304012608e-14
3467.2098601840326 2.183744450458963e-14
3468.2096323467154 2.2043547949447337e-14
3469.209404509398 2.2905834266015793e-14
3470.209176672081 2.3526421425151128e-14
3471.2089488347638 2.3315664381281208e-14
3472.2087209974466 2.2520039557661665e-14
3473.2084931601294 2.1653543487345356e-14
3474.208265322812 2.0513469327593063e-14
3475.208037485495 1.9413236209547824e-14
3476.2078096481778 1.93563884403258e-14
3477.2075818108606 2.0147847555910744e-14
3478.2073539735434 2.128446582123824e-14
3479.207126136226 2.269808927130631e-14
3480.206898298909 2.31091611368724e-14
3481.206670461592 2.342611408947138e-14
3482.2064426242746 2.3104587158957225e-14
3483.2062147869574 2.2659479815504563e-14
3484.20598694964 2.2454277613702736e-14
3485.205759112323 2.2605445889733317e-14
3486.205531275006 2.3719644887012885e-14
3487.2053034376886 2.4014620722762406e-14
3488.2050756003714 2.3687452552819538e-14
3489.204847763054 2.2361464825540293e-14
3490.204619925737 2.1353304188861597e-14
3491.20439208842 2.1192535641406836e-14
3492.2041642511026 2.1321238909610338e-14
3493.2039364137854 2.154663945907239e-14
3494.203708576468 2.192707753106808e-14
3495.203480739151 2.187759217222359e-14
3496.203252901834 2.130452356142922e-14
3497.2030250645166 2.1322004627394656e-14
3498.2027972271994 2.2055474173344677e-14
3499.2025693898822 2.3428099534699744e-14
3500.202341552565 2.457503974352248e-14
3501.202113715248 2.50433896710478e-14
3502.2018858779306 2.520524411474094e-14
3503.2016580406134 2.530751656685832e-14
3504.2014302032962 2.5357112039985953e-14
3505.201202365979 2.4634626817295925e-14
3506.200974528662 2.4003446664122227e-14
